"Timestamp","Please enter your participant ID. (find this above the form)","What is your age?","Have you played QWOP before, and if so, for how long do you think you have played in total?","On average how long do you spend playing some form of video games during a typical week outside term time?"
"2018/02/24 10:08:06 pm CET","38514","20","Longer than 30 minutes","Between 5 and 20 hours"
"2018/02/25 4:45:55 pm CET","49775","19","Never played before","More than 20 hours"
"2018/02/25 9:36:17 pm CET","42179","21","Never played before","Less than an hour"
"2018/02/25 9:50:51 pm CET","38026","21","Never played before","Less than an hour"
"2018/02/25 10:09:02 pm CET","95276","20","Never played before","Less than an hour"
"2018/02/25 10:24:07 pm CET","37185","21","Never played before","Less than an hour"
"2018/02/25 10:38:11 pm CET","62842","21","Never played before","Less than an hour"
"2018/02/28 2:00:17 pm CET","93349","21","Between 10 and 30 minutes","Less than an hour"
"2018/02/28 2:00:24 pm CET","13314","21","Between 10 and 30 minutes","Between 5 and 20 hours"
"2018/02/28 6:45:24 pm CET","60931","20","Less than 10 minutes","Less than an hour"
"2018/02/28 6:58:17 pm CET","27927","21","Never played before","Between 1 and 5 hours"
"2018/03/05 7:08:25 pm CET","11122","21","Less than 10 minutes","Between 1 and 5 hours"
"2018/03/05 8:58:20 pm CET","94392","20","Between 10 and 30 minutes","Less than an hour"
"2018/03/09 2:03:54 pm CET","65984","22","Never played before","Between 5 and 20 hours"
"2018/03/09 2:13:04 pm CET","73684","22","Never played before","Less than an hour"
"2018/03/09 2:17:55 pm CET","11463","21","A long time over multiple sessions","Less than an hour"
"2018/03/09 3:49:08 pm CET","20353","21","Never played before","Less than an hour"
"2018/03/09 4:08:35 pm CET","80390","19","Never played before","Less than an hour"
"2018/03/09 4:17:11 pm CET","32257","21","Less than 10 minutes","Less than an hour"
"2018/03/11 9:47:17 pm CET","81898","24","Less than 10 minutes","Between 1 and 5 hours"
"2018/03/11 10:06:52 pm CET","31323","20","Between 10 and 30 minutes","Less than an hour"
"2018/03/11 10:20:56 pm CET","52998","21","Never played before","Less than an hour"
"2018/03/13 10:17:11 am CET","28292","21","Less than 10 minutes","Less than an hour"
"2018/03/13 10:32:37 am CET","72674","20","Never played before","Less than an hour"
"2018/03/14 5:03:44 pm CET","73658","21","Never played before","Less than an hour"
"2018/03/14 5:19:51 pm CET","44368","21","Longer than 30 minutes","Between 5 and 20 hours"
"2018/03/14 9:13:47 pm CET","43822","20","Never played before","Less than an hour"
"2018/03/14 9:14:36 pm CET","77208","20","Never played before","Less than an hour"
"2018/03/14 9:27:47 pm CET","40996","19","Never played before","Less than an hour"
"2018/03/14 9:41:21 pm CET","56973","20","Never played before","Between 1 and 5 hours"
"2018/03/14 10:00:26 pm CET","10019","19","Never played before","Less than an hour"
"2018/03/14 10:26:02 pm CET","87653","22","Never played before","Less than an hour"
"2018/03/14 10:39:25 pm CET","73884","21","Never played before","Less than an hour"
"2018/03/28 6:09:26 pm CET","32551","20","Less than 10 minutes","Between 5 and 20 hours"
"2018/03/28 6:20:53 pm CET","14752","20","Longer than 30 minutes","More than 20 hours"
"2018/03/28 6:52:41 pm CET","20636","21","A long time over multiple sessions","Between 5 and 20 hours"
"2018/03/28 6:53:14 pm CET","32842","21","Between 10 and 30 minutes","More than 20 hours"
"2018/03/29 12:01:34 pm CET","16031","16","Never played before","Less than an hour"
"2018/03/29 12:04:47 pm CET","96730","18","Never played before","Less than an hour"
"2018/03/29 12:56:28 pm CET","14729","16","Between 10 and 30 minutes","Less than an hour"
